date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:24:36	24012/24012	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202019%2009:54:35%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html	(from )
15:24:37	1002/1002	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202019%2009:54:36%20GMT	https://p.w3layouts.com/robots.txt		(from )
15:24:37	141622/141622	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/bootstrap.css	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:38	81052/81052	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/style.css	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/style.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:38	22112/22112	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/font-awesome.css	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/font-awesome.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:39	7567/7567	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/icon-font.css	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/css/icon-font.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:43	56628/56628	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a943cd4e41d3e4d08414299a0cb40af%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/mission%20web/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:43	4731/4731	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2018%20Oct%202019%2009:54:42%20GMT	https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/mission%20web/codefund.io/properties/441/funder.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:44	247597/247597	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:02%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/js/jquery-2.1.4.js	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/js/jquery-2.1.4.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:46	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/mission%20web/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:46	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:46	3163/3163	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Oct%202019%2007:26:23%20GMT	https://p.w3layouts.com/images/demobar_w3_16oct2019.css	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/images/demobar_w3_16oct2019.css	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
15:24:49	37962/37962	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Oct%202019%2009:54:48%20GMT	https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/index.html	C:/My%20Web%20Sites/mission%20web/p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/index.html	(from https://p.w3layouts.com/demos/june-2016/01-06-2016/mosaic/web/blog.html)
